label,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
1,0.680817068,0.741356075,-2.12E-07,0.632482052,0.707709372,-0.029986063,0.596643746,0.619963408,-0.044872239,0.619624019,0.535722017,-0.059663728,0.655162513,0.479346454,-0.071540996,0.604439259,0.50323838,-0.017471241,0.600116253,0.401760697,-0.04783573,0.602575362,0.339317083,-0.062647849,0.608731329,0.28244251,-0.071775652,0.649985254,0.511249781,-0.017949274,0.654827893,0.472121149,-0.06132549,0.645915687,0.562394023,-0.061671741,0.643483996,0.586274743,-0.049868055,0.692054093,0.526223421,-0.024428345,0.697087467,0.496534109,-0.067790888,0.681372762,0.580356717,-0.04893918,0.677281201,0.596689463,-0.024321228,0.729660869,0.548304081,-0.034187172,0.731806576,0.516584277,-0.058300339,0.717048287,0.57667619,-0.042005196,0.713827431,0.593824208,-0.022614978
1,0.526703119,0.579564571,1.13E-07,0.561402917,0.59830451,-0.02283472,0.612857044,0.576711476,-0.034927007,0.634329557,0.535624623,-0.045640972,0.637005687,0.493643522,-0.055997599,0.627432883,0.462082267,-0.026607735,0.648884058,0.390574127,-0.050247908,0.663771212,0.338570774,-0.06531515,0.673473299,0.295611441,-0.075438417,0.596045554,0.439325958,-0.028184962,0.621830404,0.43834269,-0.067026027,0.606146812,0.50112766,-0.076508,0.589725435,0.541068196,-0.073533654,0.561169028,0.431687504,-0.032020576,0.583967388,0.449526757,-0.071623132,0.569966614,0.511368871,-0.067164063,0.556480467,0.54465133,-0.053615373,0.522964597,0.433117121,-0.037407957,0.547181606,0.450353801,-0.066267177,0.54221195,0.503057301,-0.061969005,0.53564465,0.531328142,-0.051308796
1,0.541487753,0.663703203,8.57E-09,0.596902013,0.628443539,-0.020001164,0.637220562,0.580788493,-0.029497193,0.649748266,0.531684577,-0.043455962,0.633473217,0.489709586,-0.057381295,0.626726687,0.470131755,0.000501982,0.653311491,0.380397916,-0.021890664,0.667307854,0.329013854,-0.038101301,0.675353408,0.280281782,-0.048058283,0.594733179,0.457338661,-0.00274424,0.60983026,0.428114533,-0.043332405,0.597300768,0.498281389,-0.059475042,0.583390355,0.54890132,-0.059879836,0.558680296,0.456774384,-0.010222881,0.5800156,0.432347417,-0.049983289,0.570930243,0.499410987,-0.050555944,0.557445109,0.544037282,-0.038101047,0.517091632,0.463337958,-0.019306222,0.532780826,0.433746815,-0.04157187,0.534318686,0.475557864,-0.035614565,0.529866636,0.510885954,-0.022983614
1,0.439934283,0.665767312,-2.65E-07,0.415460348,0.573356628,0.00693035,0.432663739,0.501945496,0.010613499,0.463665962,0.469890058,0.013674975,0.487268627,0.464731336,0.015049897,0.471772254,0.452726781,-0.006942329,0.487353325,0.361148238,-0.002407288,0.497370601,0.314193368,-7.12E-05,0.50554049,0.27614814,-0.000187178,0.509334266,0.476394475,-0.008597688,0.495321095,0.43263492,0.00205944,0.472013414,0.450323761,0.010174119,0.461236179,0.469979376,0.01266511,0.532247841,0.511240602,-0.007502359,0.508655131,0.482183725,0.006586633,0.48485136,0.494388193,0.01487751,0.473071635,0.516459048,0.015995301,0.546093822,0.544431329,-0.006370144,0.526519895,0.521386385,0.009378363,0.508914649,0.531072021,0.021308221,0.501373649,0.551165521,0.028290689
1,0.211970255,0.531710982,-1.14E-07,0.192044556,0.45568338,0.010616937,0.202093154,0.389724672,0.005425242,0.231836721,0.360884249,-0.003434743,0.264349043,0.364778459,-0.013685693,0.202866346,0.34231171,-0.016549839,0.217830241,0.251204222,-0.02450571,0.227561519,0.199310616,-0.027935408,0.233921677,0.157185242,-0.031730194,0.236014992,0.343692988,-0.029049642,0.275925815,0.319749743,-0.035340793,0.274390578,0.353419036,-0.03139773,0.260000676,0.375593007,-0.028552402,0.270504117,0.364751697,-0.038816847,0.295927227,0.36616987,-0.037275624,0.289049953,0.393926203,-0.025576269,0.275862396,0.410021454,-0.020104283,0.300597727,0.39109543,-0.0486493,0.31317839,0.396919936,-0.039629694,0.30426842,0.42293191,-0.025076644,0.292728156,0.438768417,-0.015669452
1,0.171151593,0.5186764,-1.00E-08,0.14998737,0.44183135,0.008500868,0.157785982,0.370660245,0.00389969,0.189110458,0.33791241,-0.00366443,0.222360089,0.341608077,-0.011816744,0.153030306,0.32267952,-0.013251252,0.166695267,0.23842448,-0.019686941,0.17286396,0.188092873,-0.022565216,0.178361163,0.147935539,-0.0262706,0.182437837,0.321849704,-0.024902299,0.231240779,0.30485037,-0.030696159,0.229594618,0.340245247,-0.027581459,0.214906186,0.358235359,-0.025567124,0.216116577,0.342461228,-0.034231987,0.255134821,0.343740076,-0.03441612,0.246583462,0.375448436,-0.023887627,0.231128395,0.390057027,-0.018939324,0.24783282,0.368942469,-0.043748368,0.272407115,0.379175544,-0.03601728,0.261544138,0.409456551,-0.022832934,0.247023299,0.424265057,-0.014457057
1,0.483970344,0.575765789,-3.43E-07,0.445192844,0.504488587,0.002764427,0.442691118,0.421774477,0.006411992,0.47023496,0.380043715,0.010002833,0.499184906,0.386953086,0.012703877,0.504612386,0.375786424,-0.007324073,0.525474131,0.295664877,-0.005651857,0.538411796,0.249347314,-0.00633057,0.549781203,0.215908825,-0.009533243,0.543828964,0.399803638,-0.007902532,0.52858001,0.383799434,-0.001369002,0.510554075,0.405781746,0.005199343,0.504665256,0.43010354,0.006875768,0.565654337,0.437211275,-0.007187559,0.543051481,0.424023628,-0.001700634,0.528299749,0.439455867,0.003995887,0.520987034,0.463584244,0.004685845,0.578849673,0.473514438,-0.006650263,0.560660243,0.45921874,-0.001858563,0.546395481,0.471918583,0.004075994,0.537650704,0.4930152,0.007812901
1,0.502494216,0.587450445,-3.03E-07,0.465673953,0.513180375,-0.003795924,0.463697404,0.428651214,-0.000617849,0.493596017,0.391406119,0.004898515,0.523402452,0.405725181,0.009715597,0.531986356,0.394463986,-0.016524594,0.550821066,0.312985003,-0.015437385,0.563392162,0.265997469,-0.01607535,0.574379563,0.230511487,-0.019605191,0.572470665,0.422007829,-0.013735993,0.551600337,0.398254246,-0.009482217,0.530185759,0.418859929,-0.002613061,0.523173809,0.443552196,-0.000111244,0.592162013,0.459152669,-0.009957722,0.567210734,0.436991513,-0.005636839,0.549888134,0.451054901,4.08E-05,0.542485535,0.473696053,0.001187022,0.600464761,0.494651973,-0.006789318,0.581495583,0.474683344,-0.003810305,0.567749798,0.485855401,0.000783096,0.560459197,0.507052541,0.00360868
1,0.650976121,0.620531261,2.23E-07,0.686797917,0.627357244,-0.019354958,0.737097323,0.590804219,-0.031466205,0.761082768,0.549619436,-0.042736515,0.770555496,0.506394625,-0.054192733,0.726714551,0.47826466,-0.026675176,0.75017333,0.413209975,-0.050683741,0.770102203,0.366751462,-0.065319963,0.784192324,0.327102423,-0.074949302,0.698644161,0.461982131,-0.030379616,0.751144171,0.463185042,-0.067187898,0.741719127,0.53053695,-0.073093131,0.720803082,0.567396224,-0.068036936,0.666996181,0.461720467,-0.036178112,0.719079137,0.480391264,-0.075879857,0.708762705,0.545866966,-0.068680875,0.690658748,0.576623559,-0.053312771,0.632463932,0.472628474,-0.042849943,0.679300964,0.4883672,-0.073101595,0.680800378,0.543897152,-0.067300893,0.671522021,0.575231671,-0.055540089
1,0.596406817,0.619746029,1.97E-07,0.631696641,0.58560735,-0.007823514,0.660319388,0.533430099,-0.014514732,0.67942369,0.48768574,-0.02528901,0.701304972,0.459931195,-0.035479005,0.667979479,0.454172373,-0.008365308,0.711051524,0.400041759,-0.026406314,0.736519635,0.364355177,-0.036143545,0.753581285,0.334088355,-0.042185504,0.651415765,0.445148379,-0.016298413,0.705328345,0.442377836,-0.041765425,0.72526139,0.457490116,-0.048557073,0.735408843,0.468479067,-0.0481565,0.633838534,0.447556257,-0.026400443,0.689479589,0.470511436,-0.052724678,0.695058167,0.510839462,-0.04852305,0.692978978,0.543619156,-0.038739309,0.61437434,0.459559619,-0.038023606,0.660056055,0.481095016,-0.056310698,0.663057566,0.518121779,-0.051736765,0.659208596,0.546278059,-0.043289695
